timestamp,open,high,low,close,Date,c,ccy,LogReturn
2015-02-10,6.2506,6.2583,6.241,6.2536,2015-02-10,6.2536,CNH,0.0003838526053145941
2015-02-11,6.2539,6.2552,6.2431,6.2499,2015-02-11,6.2499,CNH,-0.0005918343036748208
2015-02-12,6.2501,6.2524,6.2391,6.2404,2015-02-12,6.2404,CNH,-0.00152118072935159
2015-02-13,6.2394,6.2467,6.2359,6.2422,2015-02-13,6.2422,CNH,0.0002884014568242943
2015-02-16,6.2495,6.2724,6.2448,6.2646,2015-02-16,6.2646,CNH,0.0035820551942009615
2015-02-17,6.2644,6.2857,6.2637,6.2763,2015-02-17,6.2763,CNH,0.0018658953335928263
2015-02-18,6.276,6.2845,6.2705,6.2724,2015-02-18,6.2724,CNH,-0.0006215783508358719
2015-02-19,6.2727,6.2826,6.2715,6.2787,2015-02-19,6.2787,CNH,0.0010038961571652294
2015-02-20,6.2786,6.2819,6.2727,6.2746,2015-02-20,6.2746,CNH,-0.0006532147157773949
2015-02-23,6.2744,6.2794,6.2714,6.2731,2015-02-23,6.2731,CNH,-0.00023908764269875427
2015-02-24,6.2725,6.2775,6.2598,6.2621,2015-02-24,6.2621,CNH,-0.0017550582078535992
2015-02-25,6.2619,6.2737,6.261,6.2695,2015-02-25,6.2695,CNH,0.0011810145328805532
2015-02-26,6.2698,6.2802,6.2638,6.2771,2015-02-26,6.2771,CNH,0.0012114837373533582
2015-02-27,6.2771,6.2935,6.2746,6.2831,2015-02-27,6.2831,CNH,0.000955398872055202
2015-03-02,6.2934,6.3019,6.2816,6.2897,2015-03-02,6.2897,CNH,0.001049885563477071
2015-03-03,6.2898,6.2917,6.281,6.2844,2015-03-03,6.2844,CNH,-0.0008430027300359022
2015-03-04,6.2844,6.2886,6.2741,6.2857,2015-03-04,6.2857,CNH,0.0002068400417873928
2015-03-05,6.2838,6.2921,6.2706,6.2741,2015-03-05,6.2741,CNH,-0.001847163696600429
2015-03-06,6.2741,6.2855,6.269,6.2828,2015-03-06,6.2828,CNH,0.0013856925502480077
2015-03-09,6.2743,6.2836,6.2706,6.2738,2015-03-09,6.2738,CNH,-0.0014335093164092871
2015-03-10,6.2738,6.2839,6.2697,6.28,2015-03-10,6.28,CNH,0.0009877488097764786
