timestamp,open,high,low,close,Date,c,ccy,LogReturn
2005-04-18,7.7987,7.7992,7.794,7.7984,2005-04-18,7.7984,HKD,0.00024366940594688913
2005-04-19,7.7985,7.7995,7.7968,7.7986,2005-04-19,7.7986,HKD,2.5645957557163257e-05
2005-04-20,7.7984,7.7996,7.7945,7.7992,2005-04-20,7.7992,HKD,7.693392661733967e-05
2005-04-21,7.7994,7.7996,7.7975,7.7992,2005-04-21,7.7992,HKD,0.0
2005-04-22,7.7992,7.7993,7.7905,7.7962,2005-04-22,7.7962,HKD,-0.0003847288350415923
2005-04-25,7.7962,7.7984,7.7913,7.7964,2005-04-25,7.7964,HKD,2.565319446556913e-05
2005-04-26,7.796,7.7988,7.7933,7.7982,2005-04-26,7.7982,HKD,0.00023084914111182187
2005-04-27,7.7983,7.7993,7.796,7.7992,2005-04-27,7.7992,HKD,0.00012822649946420128
2005-04-28,7.7983,7.7991,7.7962,7.7986,2005-04-28,7.7986,HKD,-7.693392661733967e-05
2005-04-29,7.7986,7.7991,7.789,7.7943,2005-04-29,7.7943,HKD,-0.0005515330835188514
2005-05-02,7.7948,7.7969,7.7909,7.7961,2005-05-02,7.7961,HKD,0.0002309113310752231
2005-05-03,7.7961,7.7976,7.7776,7.7871,2005-05-03,7.7871,HKD,-0.0011550902254575668
2005-05-04,7.7855,7.7947,7.7849,7.7907,2005-05-04,7.7907,HKD,0.00046219621051601933
2005-05-05,7.7907,7.7947,7.79,7.7909,2005-05-05,7.7909,HKD,2.567130461716971e-05
2005-05-06,7.7911,7.7944,7.7897,7.7925,2005-05-06,7.7925,HKD,0.00020534671581584618
2005-05-09,7.7936,7.7979,7.7902,7.7967,2005-05-09,7.7967,HKD,0.000538834590821935
2005-05-10,7.7959,7.7987,7.7956,7.7982,2005-05-10,7.7982,HKD,0.00019237058328336332
2005-05-11,7.7983,7.7991,7.7915,7.7976,2005-05-11,7.7976,HKD,-7.69437925973726e-05
2005-05-12,7.7981,7.7989,7.7925,7.7983,2005-05-12,7.7983,HKD,8.976718246067605e-05
